"Coef" "beta" "SE" "tstat" "df_t" "p_t"
"interventionInformation" "interventionInformation" -0.0363511242536759 0.0932893254798591 -0.389660060962967 43 0.698711264216519
"interventionLabel" "interventionLabel" -0.10252025314444 0.116625644842525 -0.879054116124021 43 0.384258004736242
"interventionRebate" "interventionRebate" 0.058531204910068 0.0421993121595169 1.38701798476751 43 0.172584458654411
"interventionSubsidy" "interventionSubsidy" -0.0998413741893984 0.0945008451482321 -1.05651302941036 43 0.296633679334853
"z_variance" "z_variance" 2.85084744638683 0.204114960842951 13.9668715836088 43 0.0000000000000000139353639689558
"applianceClothes Dryer" "applianceClothes Dryer" -0.0713096324772874 0.112099662714668 -0.636127092182205 43 0.528065203022245
"applianceDishwasher" "applianceDishwasher" -0.00226473432194463 0.0957787457341607 -0.0236454790108708 43 0.981244785806727
"applianceHeat Pump" "applianceHeat Pump" -0.148702571411576 0.0498596951833504 -2.98242038714331 43 0.00469628071577629
"applianceLighting" "applianceLighting" 0.129163833929832 0.0646877975369251 1.99672641283083 43 0.0522100977537398
"applianceRefrigerator" "applianceRefrigerator" 0.109366397596937 0.0603342308170536 1.81267575828653 43 0.0768671277814854
"applianceTV" "applianceTV" -0.114659210656744 0.061739881472049 -1.85713363749576 43 0.0701500981441906
"applianceWashing Machine" "applianceWashing Machine" 0.0585562338987184 0.0870696810403003 0.672521516090263 43 0.504849822088855
"applianceWater Heater" "applianceWater Heater" -0.0117738890295514 0.0348556630595441 -0.337789845209313 43 0.737165136876579
"incentive_follow_throughself-reported behaviour" "incentive_follow_throughself-reported behaviour" 0.153407245079555 0.0736200227192175 2.08377068375327 43 0.0431590344977863
"incentive_follow_throughstated preference" "incentive_follow_throughstated preference" 0.183593878365699 0.0945368813095391 1.94203442955309 43 0.0587020345969055
"reportingBiasesprobably yes" "reportingBiasesprobably yes" 0.0803948953025424 0.0389045548604359 2.06646485458956 43 0.0448407396011808
"participant_typeresidents" "participant_typeresidents" -0.11203456499051 0.0501678250679893 -2.23319557582328 43 0.0307924938492085
"participant_typeunspecified" "participant_typeunspecified" 0.0764204133796699 0.0484858331530485 1.57613901649259 43 0.122323335229278
