,PIP, Post Mean , Post SD , Cond.Pos.Sign , Idx , Post Mean , Post SD , Cond.Pos.Sign , Idx , PIP , Post Mean , Post SD , Cond.Pos.Sign , Idx ,
z_variance, 1.00 , 2.56 , 0.46 , 1.00 , 1.00 , 1.00 , 3.03 , 0.51 , 1.00 , 1.00 , 1.00 , 3.15 , 0.47 , 1.00 , 1.00 
participant_type_residents, 1.00 ,-0.16 , 0.03 , -   , 26.00 , 0.01 , 0.00 , 0.01 , 0.80 , 2.00 , 0.00 , 0.00 , 0.00 , 1.00 , 2.00 
appliance_Refrigerator, 1.00 , 0.16 , 0.03 , 1.00 , 8.00 , 0.01 , 0.00 , 0.00 , 0.80 , 3.00 , 0.00 , 0.00 , 0.00 , 0.89 , 3.00 
incentive_follow_through_stated_preference, 1.00 , 0.16 , 0.04 , 1.00 , 22.00 , 0.09 ,-0.01 , 0.04 , -   , 4.00 , 0.01 ,-0.00 , 0.01 , -   , 4.00 
appliance_Lighting, 0.99 , 0.18 , 0.05 , 1.00 , 7.00 , 0.08 ,-0.01 , 0.02 , -   , 5.00 , 0.01 ,-0.00 , 0.00 , -   , 5.00 
reportingBiases_probably_yes, 0.95 , 0.13 , 0.05 , 1.00 , 31.00 , 0.01 , 0.00 , 0.00 , 0.46 , 6.00 , 0.00 ,-0.00 , 0.00 , 0.12 , 6.00 
intervention_Loan, 0.84 ,-0.14 , 0.08 , -   , 4.00 , 0.21 , 0.03 , 0.07 , 1.00 , 7.00 , 0.01 , 0.00 , 0.01 , 1.00 , 7.00 
intervention_Label, 0.64 ,-0.05 , 0.05 , -   , 5.00 , 0.99 , 0.14 , 0.03 , 1.00 , 8.00 , 0.99 , 0.14 , 0.03 , 1.00 , 8.00 
statistical_technique_linear_probability_model, 0.54 ,-0.06 , 0.07 , 0.00 , 15.00 , 0.03 ,-0.00 , 0.02 , 0.01 , 9.00 , 0.00 ,-0.00 , 0.01 , 0.01 , 9.00 
experimental_setting_online, 0.41 ,-0.03 , 0.05 , 0.00 , 24.00 , 0.02 , 0.00 , 0.01 , 1.00 , 10.00 , 0.01 , 0.00 , 0.01 , 1.00 , 10.00 
appliance_Washing_Machine, 0.19 , 0.02 , 0.05 , 1.00 , 10.00 , 0.01 ,-0.00 , 0.01 , 0.12 , 11.00 , 0.00 ,-0.00 , 0.01 , -   , 11.00 
appliance_TV, 0.19 ,-0.02 , 0.05 , 0.00 , 12.00 , 0.03 ,-0.00 , 0.02 , 0.00 , 12.00 , 0.00 ,-0.00 , 0.01 , -   , 12.00 
experimental_setting_household, 0.16 , 0.01 , 0.03 , 0.99 , 23.00 , 0.03 ,-0.00 , 0.02 , 0.00 , 13.00 , 0.01 ,-0.00 , 0.02 , -   , 13.00 
controls_environmental_attitudes_0, 0.15 , 0.01 , 0.02 , 1.00 , 33.00 , 0.01 ,-0.00 , 0.01 , 0.14 , 14.00 , 0.00 ,-0.00 , 0.00 , 0.04 , 14.00 
appliance_Heat_Pump, 0.14 ,-0.01 , 0.04 , 0.00 , 9.00 , 0.13 ,-0.01 , 0.04 , -   , 15.00 , 0.02 ,-0.00 , 0.01 , -   , 15.00 
intervention_Information, 0.11 ,-0.00 , 0.02 , 0.15 , 2.00 , 0.02 ,-0.00 , 0.01 , 0.00 , 16.00 , 0.00 ,-0.00 , 0.00 , -   , 16.00 
opt_in_opt_in, 0.10 , 0.00 , 0.02 , 1.00 , 28.00 , 0.01 , 0.00 , 0.01 , 0.88 , 17.00 , 0.00 , 0.00 , 0.00 , 0.96 , 17.00 
controls_energy_prices_1, 0.09 , 0.00 , 0.02 , 0.99 , 32.00 , 0.01 , 0.00 , 0.01 , 0.81 , 18.00 , 0.00 , 0.00 , 0.00 , 1.00 , 18.00 
aware_of_study_1, 0.08 , 0.00 , 0.02 , 1.00 , 27.00 , 0.02 , 0.00 , 0.01 , 1.00 , 19.00 , 0.01 , 0.00 , 0.00 , 1.00 , 19.00 
study_design_quasi-experimental, 0.08 , 0.00 , 0.01 , 0.99 , 19.00 , 0.01 ,-0.00 , 0.01 , 0.00 , 20.00 , 0.00 ,-0.00 , 0.00 , -   , 20.00 
statistical_technique_diff_of_means, 0.08 ,-0.00 , 0.02 , 0.01 , 16.00 , 0.01 , 0.00 , 0.01 , 0.97 , 21.00 , 0.00 , 0.00 , 0.00 , 0.99 , 21.00 
incentive_follow_through_self-reported_behaviour, 0.07 , 0.00 , 0.02 , 0.97 , 21.00 , 0.26 , 0.03 , 0.05 , 1.00 , 22.00 , 0.04 , 0.00 , 0.01 , 1.00 , 22.00 
study_design_pre_and_post, 0.07 ,-0.00 , 0.02 , 0.00 , 20.00 , 0.02 , 0.00 , 0.01 , 0.99 , 23.00 , 0.00 , 0.00 , 0.00 , 1.00 , 23.00 
