,PIP,Post Mean,Post SD,Cond.Pos.Sign,Idx,PIP,Post Mean,Post SD,Cond.Pos.Sign,Idx,PIP,Post Mean,Post SD,Cond.Pos.Sign,Idx
z_variance,1,2.86160266,0.46424065,1,1,1,3.133717709,0.461643222,1,1,1,3.165984706,0.4503674,1,1
intervention_Rebate,0.637345677,0.072463795,0.066359948,1,2,0.04354625,0.003835804,0.020618012,1,2,0.005141369,0.000256547,0.004734259,1,2
intervention_Label,0.436387076,-0.032299308,0.042405634,0.0002904,3,0.078270766,-0.005860856,0.022344752,0,3,0.009651142,-0.000513639,0.006248427,0,3
intervention_Subsidy,0.063154837,-0.003603106,0.021979261,0.17539343,4,0.00756463,-0.000135858,0.004659043,0.13156331,4,0.002350672,-1.57643E-05,0.001974022,0.02658111,4
appliance_Water,0.085629053,0.007032306,0.032376038,0.85378834,5,0.00752948,-4.22905E-05,0.004326428,0.19696117,5,0.002416,-1.90643E-05,0.001788616,0.05071689,5
appliance_Lighting,0.970722517,0.163046919,0.060321637,1,6,0.077948224,0.00926234,0.035618985,1,6,0.007308376,0.000523078,0.007463549,1,6
appliance_Refrigerator,0.999970336,0.154766199,0.038617395,1,7,0.991509065,0.133264059,0.032194398,1,7,0.986967118,0.134265576,0.03249101,1,7
appliance_Washing,0.289431412,0.034403913,0.062598304,0.99999479,8,0.017567201,0.001338461,0.012568776,0.99999983,8,0.004399435,0.000263625,0.005259347,1,8
appliance_Clothes,0.031654451,-0.001689351,0.017190088,0.04461276,9,0.032906761,-0.004624168,0.028986521,0.00003199,9,0.012224902,-0.001730182,0.017834469,0,9
appliance_Dishwasher,0.025370166,0.000396328,0.015160051,0.60211971,10,0.007284133,-0.000384985,0.009176374,0.0219441,10,0.002523132,-0.00013649,0.005340327,0,10
appliance_TV,0.062304987,-0.00423753,0.022210017,0.00271515,11,0.011900943,-0.00073978,0.009359553,0.00014342,11,0.00329865,-0.000156345,0.00418318,0,11
appliance_Air-Conditioner,0.161592226,0.014773464,0.040647781,0.99953033,12,0.013592801,0.000771707,0.009048819,0.99882843,12,0.002921533,7.83661E-05,0.002698085,1,12
statistical_technique_logit,0.476881246,0.039074192,0.04716801,0.99922932,13,0.082823557,0.005437961,0.020123317,1,13,0.026588978,0.00163879,0.010998767,1,13
statistical_technique_diff,0.041053029,-0.001343876,0.01193798,0.12421309,14,0.01411921,-0.000684677,0.007362642,0.00170354,14,0.00556603,-0.000277069,0.004632483,0,14
statistical_technique_probit,0.029852066,0.000187005,0.014632756,0.58049753,15,0.006195959,0.000101202,0.006033552,0.90636641,15,0.002188603,1.43116E-05,0.00324971,0.9999018,15
statistical_technique_other,0.267203098,0.036414916,0.069521297,0.99861373,16,0.007621543,0.000220879,0.007517066,0.45156103,16,0.00222919,-6.46037E-06,0.002915904,0.0727512,16
