"Coef" "beta" "SE" "tstat" "df_t" "p_t"
"(Intercept)" "(Intercept)" -0.242562562575046 0.13957716589237 -1.73783842811431 43 0.0893971129068384
"interventionLabel" "interventionLabel" -0.0554739070012238 0.0515484430569582 -1.07615097006767 43 0.287860785012151
"interventionLoan" "interventionLoan" -0.118011994481004 0.0297996338297186 -3.96018270410133 43 0.000276926708106547
"interventionRebate" "interventionRebate" 0.135309755625277 0.112260471557816 1.20531967973776 43 0.234671233654237
"interventionSubsidy" "interventionSubsidy" -0.0775032713847479 0.0434706948890038 -1.7828854952202 43 0.0816654279859666
"z_variance" "z_variance" 2.80605862744898 0.252776588830652 11.1009434870129 43 0.0000000000000330092659658147
"applianceClothes_Dryer" "applianceClothes_Dryer" -0.000147978125460381 0.140477532442146 -0.00105339354192689 43 0.999164385648444
"applianceDishwasher" "applianceDishwasher" 0.0527047821848523 0.120071662870371 0.438944384752563 43 0.662899632449131
"applianceHeat_Pump" "applianceHeat_Pump" -0.130613792814039 0.146014380763439 -0.894526909823007 43 0.37601991338844
"applianceLighting" "applianceLighting" 0.180972618112389 0.0759588798817005 2.38250772515653 43 0.0216871842344854
"applianceRefrigerator" "applianceRefrigerator" 0.150447194973679 0.0759982829165475 1.97961308071767 43 0.0541712595132264
"applianceTV" "applianceTV" -0.105143471423738 0.078705978400645 -1.33590196780879 43 0.188608981082521
"applianceWashing_Machine" "applianceWashing_Machine" 0.0839717957117919 0.110801393763773 0.757858659168299 43 0.452669144751409
"applianceWater_Heater" "applianceWater_Heater" 0.0202847152266897 0.0439164133582249 0.461893712977602 43 0.646485991444327
"incentive_follow_throughself-reported_behaviour" "incentive_follow_throughself-reported_behaviour" 0.218862990113041 0.115243949919698 1.89912780901335 43 0.0642698278195349
"incentive_follow_throughstated_preference" "incentive_follow_throughstated_preference" 0.23436804809091 0.131658081533736 1.78012656238542 43 0.0821222706714269
"reportingBiasesprobably_yes" "reportingBiasesprobably_yes" 0.124100084858506 0.0525850164151154 2.35998946693936 43 0.02288339820979
"participant_typehomeowners" "participant_typehomeowners" 0.123942014922115 0.0553802448305194 2.23801854436389 43 0.0304519756862952
"participant_typeunspecified" "participant_typeunspecified" 0.206559034251941 0.0618833472657033 3.33787752891026 43 0.00174999721998895
"statistical_techniquelinear_probability_model" "statistical_techniquelinear_probability_model" -0.0380292701749962 0.120917589123482 -0.314505693097803 43 0.754657980687904
"statistical_techniquelogit" "statistical_techniquelogit" 0.00325068803010051 0.07485799811746 0.0434247256385328 43 0.965563995349872
"statistical_techniqueOLS/WLS" "statistical_techniqueOLS/WLS" 0.06315519707823 0.0847859741891904 0.74487788436925 43 0.460397528260684
"statistical_techniqueother" "statistical_techniqueother" 0.135181382406321 0.10613763647068 1.27364229034499 43 0.209632002597536
"statistical_techniqueprobit" "statistical_techniqueprobit" -0.0759419997171159 0.0793625431280903 -0.956899775685696 43 0.343967143000779
"outOfSampleBiasprobably_yes" "outOfSampleBiasprobably_yes" -0.00942086359799655 0.0433435018046092 -0.217353541032873 43 0.828960905897069
