, PIP , Post Mean , Post SD , Cond.Pos.Sign , Idx 
 z_variance , 1.00 , 2.63 , 0.44 , 1.00 , 1.00 
 incentive_follow_through_stated_preference , 1.00 , 0.18 , 0.03 , 1.00 , 23.00 
 participant_type_residents , 1.00 ,-0.14 , 0.03 , -   , 28.00 
 appliance_Refrigerator , 0.98 , 0.13 , 0.04 , 1.00 , 9.00 
 appliance_Lighting , 0.96 , 0.13 , 0.05 , 1.00 , 8.00 
 rebate_0 , 0.94 ,-0.12 , 0.05 , -   , 4.00 
 reportingBiases_probably_yes , 0.86 , 0.11 , 0.06 , 1.00 , 33.00 
 appliance_Heat_Pump , 0.56 ,-0.07 , 0.07 , -   , 10.00 
 subsidy_1 , 0.44 , 0.05 , 0.07 , 1.00 , 5.00 
 appliance_TV , 0.36 ,-0.05 , 0.07 , 0.00 , 13.00 
 incentive_follow_through_self-reported_behavior , 0.35 , 0.04 , 0.06 , 1.00 , 22.00 
 appliance_Washing_Machine , 0.31 , 0.03 , 0.05 , 1.00 , 11.00 
 loan_1 , 0.24 ,-0.03 , 0.06 , 0.00 , 6.00 
 experimental_setting_household , 0.18 , 0.01 , 0.03 , 0.99 , 24.00 
 statistical_technique_OLS , 0.18 ,-0.01 , 0.03 , 0.00 , 15.00 
 randomisation_dummy_0 , 0.17 ,-0.01 , 0.02 , 0.00 , 31.00 
 aware_of_study_1 , 0.13 , 0.01 , 0.02 , 1.00 , 29.00 
 appliance_Clothes_Dryer , 0.12 , 0.01 , 0.03 , 0.99 , 14.00 
 participant_type_homeowners , 0.10 ,-0.01 , 0.03 , 0.02 , 27.00 
 study_design_quasi-experimental , 0.10 , 0.00 , 0.02 , 0.99 , 18.00 
 statistical_technique_diff_of_means , 0.08 ,-0.00 , 0.02 , 0.02 , 16.00 
 label_1 , 0.08 , 0.01 , 0.03 , 0.95 , 3.00 
 outOfSampleBias_probably_yes , 0.08 , 0.00 , 0.02 , 0.98 , 32.00 
 opt_in_1 , 0.07 , 0.00 , 0.01 , 0.98 , 30.00 
 controls_energy_prices_1 , 0.07 , 0.00 , 0.01 , 0.94 , 34.00 
 information_1 , 0.07 , 0.01 , 0.03 , 0.95 , 2.00 
 appliance_Air-Conditioner , 0.06 ,-0.00 , 0.02 , 0.05 , 7.00 
 controls_demographics_0 , 0.06 , 0.00 , 0.01 , 0.99 , 36.00 
 experimental_setting_lab , 0.05 ,-0.00 , 0.03 , 0.00 , 26.00 
 experimental_setting_online , 0.05 ,-0.00 , 0.01 , 0.09 , 25.00 
 statistical_technique_Other , 0.04 , 0.00 , 0.01 , 0.91 , 17.00 
 appliance_Dishwasher , 0.04 , 0.00 , 0.02 , 0.97 , 12.00 
 study_design_simulated_counterfactual , 0.03 ,-0.00 , 0.02 , 0.18 , 21.00 
 controls_environmental_attitudes_0 , 0.03 , 0.00 , 0.01 , 0.91 , 35.00 
 study_design_pre_and_post , 0.03 ,-0.00 , 0.01 , 0.45 , 20.00 
 study_design_DID , 0.03 ,-0.00 , 0.01 , 0.45 , 19.00 
 (Intercept) , 1.00 , 0.07 , NA , NA , -   
