"Coef" "beta" "SE" "tstat" "df_t" "p_t"
"(Intercept)" "(Intercept)" 0.00489602804237293 0.147773955905784 0.0331318736942692 52 0.973696274976665
"z_variance" "z_variance" 2.55304434257542 0.373645402829716 6.83280009131798 52 0.00000000914408120027743
"label" "label" 0.0145009566421106 0.0446728682763093 0.324603214470576 52 0.746783654314915
"loan" "loan" -0.125541783085756 0.0825226911416825 -1.52130015816152 52 0.13424265143305
"rebate" "rebate" 0.132753873493726 0.077734060064866 1.70779544234468 52 0.0936387085856648
"subsidy" "subsidy" 0.0591249903918406 0.0635558962554283 0.930283323426357 52 0.356523234939798
"appliance1Air-Conditioner" "appliance1Air-Conditioner" -0.122138307164177 0.0644458853378413 -1.89520721957496 52 0.0636301070606227
"appliance1Clothes_Dryer" "appliance1Clothes_Dryer" -0.057695095522109 0.0443831116850414 -1.29993354074708 52 0.199356643915273
"appliance1Dishwasher" "appliance1Dishwasher" -0.0557585414764704 0.0552582709412626 -1.00905331503658 52 0.317621506622496
"appliance1Heat_Pump" "appliance1Heat_Pump" -0.18897181875423 0.076814557541612 -2.46010424068198 52 0.0172497113506971
"appliance1Lighting" "appliance1Lighting" 0.0406990188418499 0.0506365561117364 0.803747765784899 52 0.425201723742766
"appliance1TV" "appliance1TV" -0.203506884764784 0.0714926427097194 -2.84654304347204 52 0.0063117059185476
"appliance1Washing_Machine" "appliance1Washing_Machine" -0.0416944535786729 0.0532351426836364 -0.783212958147835 52 0.437054759464338
"appliance1Water_Heater" "appliance1Water_Heater" -0.0924729886618399 0.0467819256089129 -1.97668196548587 52 0.0533919916972739
"incentive_follow_throughself-reported_behavior" "incentive_follow_throughself-reported_behavior" 0.0973889304010568 0.0546261342043567 1.78282669677346 52 0.0804522715776164
"incentive_follow_throughstated_preference" "incentive_follow_throughstated_preference" 0.183528111412745 0.0906395376626482 2.02481296954338 52 0.0480354466755844
"reportingBiasesprobably_yes" "reportingBiasesprobably_yes" 0.116146389622692 0.0433612839452099 2.67857358120326 52 0.00987419794403187
"participant_type1homeowners" "participant_type1homeowners" 0.0845092563375809 0.0538185554433844 1.570262442783 52 0.122419701592562
"participant_type1unspecified" "participant_type1unspecified" 0.140853399145517 0.0556303300517169 2.53195332500405 52 0.0144029194944348
"outOfSampleBiasprobably_yes" "outOfSampleBiasprobably_yes" -0.0123049884213734 0.0299731627501835 -0.410533533745885 52 0.683101348461145
"publication_year_dummy" "publication_year_dummy" -0.0922996783467197 0.108261459256428 -0.852562666166352 52 0.397811718419552
