"coder","counterfactual","sr_no","study_ID","authors","year_publication","doc_title","abstract","study_type","year_data_study","exclusion_reason","page","statistical_technique","study_design","country","incentive_follow_through","experimental_setting","participant_type","aware_of_study","opt_in","randomisation_dummy","outOfSampleBias","reportingBiases","notes_bias","feedback","information","label","rebate","tax_credit","subsidy","loan","choice_architecture","notes_intervention","washing_machine","clothes_dryer","dishwasher","refrigerator","heat_pump","lighting","water_heater","ac","tv","notes_dep_var","dep_variable_purchase_category","dep_var_original_study","dep_var_transformation","coefficient","effect_direction","coefficient_se","p_value","significance_bound","t_stat","percent_change_from_paper","percent_change","control_mean","control_sample_size","control_sd","treated_mean","treatment_sample_size","treated_sd","total_sample_size","total_observations","diff_mean","pooled_sd","monetary_incentive_size","monetary_incentive_relative","monetary_incentive_timeframe","label_monetary","label_monetary_size","label_consumption","label_consumption_size","label_scale","r_value","z_value","r_variance","z_variance","d_value","df","comments","r_value_obs","z_value_obs","r_variance_obs","z_variance_obs","...87","percent_change(binary predictor)","r_effect_size_sample","controls_energy_prices","controls_environmental_attitudes","controls_demographics","continent","oecd","lmic","multi_intervention","intervention","appliance","intervention_category","num_effect_sizes"
"all","no intervention",1001,"101","Allcott, Sweeney",2016,"The Role of Sales Agents in Information Disclosure:
Evidence from a Field Experiment","With a large nationwide retailer, we run a natural field experiment to measure the effects of energy use
information disclosure, customer rebates, and sales agent incentives on demand for energy-efficient durable
goods. Although a combination of large rebates plus sales incentives substantially increases market share,
information and sales incentives alone each have zero statistical effect and explain at most a small fraction of
the low baseline market share. Sales agents strategically comply only partially with the experiment, targeting
information to more interested consumers but not discussing energy efficiency with the disinterested majority.
These results suggest that seller-provided information is not a major barrier to energy-efficiency investments at
current prices in this context.",2,2016,"NA","13","Logit / Probit","control & treatment","US","revealed preference","retailer","unspecified","0","0","1","probably no","probably no","NA",0,0,0,1,0,0,0,0,"focus on phase 1 as there the effect is separated from agent incentivisation",0,0,0,0,0,0,1,0,0,"NA","purschase (probability) of efficient appliance","whether the consumer purchases an Energy Star model","dummy (0/1)",0.006,"increase",0.003,0.05,"1",2,"NA",0.501499995500016,NA,NA,NA,NA,2525.8,NA,23347,23347,NA,NA,100,NA,"current","NA",NA,"NA",NA,"NA",0.0130881195635548,0.0130888669670874,0.0000428338889167306,0.000042837559972584,NA,23345,"NA",0.0130881195635548,0.0130888669670874,0.0000428338889167306,0.000042837559972584,NA,NA,NA,"0","1","1","North and Central America","non-OECD country","non-LMIC",1,"Rebate","Water Heater","Economic Incentives",3
"all","no intervention",1002,"101","Allcott, Sweeney",2016,"The Role of Sales Agents in Information Disclosure:
Evidence from a Field Experiment","With a large nationwide retailer, we run a natural field experiment to measure the effects of energy use
information disclosure, customer rebates, and sales agent incentives on demand for energy-efficient durable
goods. Although a combination of large rebates plus sales incentives substantially increases market share,
information and sales incentives alone each have zero statistical effect and explain at most a small fraction of
the low baseline market share. Sales agents strategically comply only partially with the experiment, targeting
information to more interested consumers but not discussing energy efficiency with the disinterested majority.
These results suggest that seller-provided information is not a major barrier to energy-efficiency investments at
current prices in this context.",2,2016,"NA","13","Logit / Probit","control & treatment","US","revealed preference","retailer","unspecified","0","0","1","probably no","probably no","NA",0,0,0,1,0,0,0,0,"focus on phase 1 as there the effect is separated from agent incentivisation",0,0,0,0,0,0,1,0,0,"NA","purschase (probability) of efficient appliance","whether the consumer purchases an Energy Star model","dummy (0/1)",0.001,"increase",0.001,0.1,"2",1,"NA",0.500249999979167,NA,NA,NA,NA,2525.8,NA,23347,23347,NA,NA,25,NA,"current","NA",NA,"NA",NA,"NA",0.00654448019356315,0.00654457362980865,0.0000428338900953254,0.000042837559972584,NA,23345,"NA",0.00654448019356315,0.00654457362980865,0.0000428338900953254,0.000042837559972584,NA,NA,NA,"0","1","1","North and Central America","non-OECD country","non-LMIC",1,"Rebate","Water Heater","Economic Incentives",3
"all","no intervention",1003,"101","Allcott, Sweeney",2016,"The Role of Sales Agents in Information Disclosure:
Evidence from a Field Experiment","With a large nationwide retailer, we run a natural field experiment to measure the effects of energy use
information disclosure, customer rebates, and sales agent incentives on demand for energy-efficient durable
goods. Although a combination of large rebates plus sales incentives substantially increases market share,
information and sales incentives alone each have zero statistical effect and explain at most a small fraction of
the low baseline market share. Sales agents strategically comply only partially with the experiment, targeting
information to more interested consumers but not discussing energy efficiency with the disinterested majority.
These results suggest that seller-provided information is not a major barrier to energy-efficiency investments at
current prices in this context.",2,2016,"NA","13","Logit / Probit","control & treatment","US","revealed preference","retailer","unspecified","0","0","1","probably no","probably no","NA",0,1,0,0,0,0,0,0,"focus on phase 1 as there the effect is separated from agent incentivisation",0,0,0,0,0,0,1,0,0,"NA","purschase (probability) of efficient appliance","whether the consumer purchases an Energy Star model","dummy (0/1)",0,"increase",0.002,0.1,"2",0,"NA",0.5,NA,NA,NA,NA,2525.8,NA,23347,23347,NA,NA,NA,NA,"NA","NA",NA,"NA",NA,"NA",0,0,0.0000428338901739056,0.000042837559972584,NA,23345,"NA",0,0,0.0000428338901739056,0.000042837559972584,NA,NA,NA,"0","1","1","North and Central America","non-OECD country","non-LMIC",1,"Information","Water Heater","Information Strategies",3
"all","no intervention",1007,"103","Liu, Jin",2019,"Visualisation Approach and Economic Incentives toward Low Carbon Practices in
Households: A Survey Study in Hyogo, Japan","Considering the great significance of residential sector for deep decarbonisation in
the medium and long term, this study analyses the effectiveness of an emissions visualisation
approach and economic incentives in promoting household low-carbon practices. The data was
gathered by a questionnaire survey from 406 households in Hyogo Prefecture, Japan, which
received eco-home diagnosis in the past three years. The result confirms that around 40% of the
samples installed home energy management system (HEMS) as the visualisation tool, and many
households received low-carbon subsidies; however, few of them have utilised the low-interest
loan from the government of Hyogo. Household lifestyle efforts are less associated with the policy
measures and some differ due to family characteristics, i.e., the age of head of the household.
Replacing household equipment with low-carbon items is largely determined by the visualisation
approach and availability of economic incentives. As an example, the installation of HEMS would
increase the probability of replacement with an electric heat pump water heater by 25.6% and the
introduction of solar PV system by 55.9%. This study assists in understanding household lowcarbon
practices and their relationship with the related policy measures.",2,2018,"NA","23","Logit / Probit","quasi-experimental","Japan","self-reported behavior","household","homeowners","0","1","0","probably yes","probably yes","NA",1,1,0,0,0,0,0,0,"NA",0,0,0,0,0,0,0,1,0,"aggregated already implemented and planned installations together?","purschase (probability) of efficient appliance","adoption of renewable and energy saving appliances","dummy (0/1)",0.809,"increase",NA,0.01,"1",2.60140874655905,NA,0.31,NA,NA,NA,NA,NA,NA,196,196,NA,NA,NA,NA,"NA","NA",NA,"NA",NA,"NA",0.182687825954519,0.184761912957563,0.00512222906490312,0.00518134715025907,NA,194,"NA",0.182687825954519,0.184761912957563,0.00512222906490312,0.00518134715025907,NA,NA,NA,"0","0","1","Asia","OECD country","non-LMIC",1,"Information","Air-Conditioner","Information Strategies",6
"all","no intervention",1008,"103","Liu, Jin",2019,"Visualisation Approach and Economic Incentives toward Low Carbon Practices in
Households: A Survey Study in Hyogo, Japan","Considering the great significance of residential sector for deep decarbonisation in
the medium and long term, this study analyses the effectiveness of an emissions visualisation
approach and economic incentives in promoting household low-carbon practices. The data was
gathered by a questionnaire survey from 406 households in Hyogo Prefecture, Japan, which
received eco-home diagnosis in the past three years. The result confirms that around 40% of the
samples installed home energy management system (HEMS) as the visualisation tool, and many
households received low-carbon subsidies; however, few of them have utilised the low-interest
loan from the government of Hyogo. Household lifestyle efforts are less associated with the policy
measures and some differ due to family characteristics, i.e., the age of head of the household.
Replacing household equipment with low-carbon items is largely determined by the visualisation
approach and availability of economic incentives. As an example, the installation of HEMS would
increase the probability of replacement with an electric heat pump water heater by 25.6% and the
introduction of solar PV system by 55.9%. This study assists in understanding household lowcarbon
practices and their relationship with the related policy measures.",2,2018,"NA","23","Logit / Probit","quasi-experimental","Japan","self-reported behavior","household","homeowners","0","1","0","probably yes","probably yes","NA",1,1,0,0,0,0,0,0,"NA",0,0,0,0,0,0,1,0,0,"aggregated already implemented and planned installations together?","purschase (probability) of efficient appliance","adoption of renewable and energy saving appliances","dummy (0/1)",0.653,"increase",NA,0.05,"1",1.97427095702805,NA,0.256,NA,NA,NA,NA,NA,NA,169,169,NA,NA,NA,NA,"NA","NA",NA,"NA",NA,"NA",0.150145420725669,0.151289207263225,0.00594926261926232,0.00602409638554217,NA,167,"NA",0.150145420725669,0.151289207263225,0.00594926261926232,0.00602409638554217,NA,NA,NA,"0","0","1","Asia","OECD country","non-LMIC",1,"Information","Water Heater","Information Strategies",6
"all","no intervention",1009,"103","Liu, Jin",2019,"Visualisation Approach and Economic Incentives toward Low Carbon Practices in
Households: A Survey Study in Hyogo, Japan","Considering the great significance of residential sector for deep decarbonisation in
the medium and long term, this study analyses the effectiveness of an emissions visualisation
approach and economic incentives in promoting household low-carbon practices. The data was
gathered by a questionnaire survey from 406 households in Hyogo Prefecture, Japan, which
received eco-home diagnosis in the past three years. The result confirms that around 40% of the
samples installed home energy management system (HEMS) as the visualisation tool, and many
households received low-carbon subsidies; however, few of them have utilised the low-interest
loan from the government of Hyogo. Household lifestyle efforts are less associated with the policy
measures and some differ due to family characteristics, i.e., the age of head of the household.
Replacing household equipment with low-carbon items is largely determined by the visualisation
approach and availability of economic incentives. As an example, the installation of HEMS would
increase the probability of replacement with an electric heat pump water heater by 25.6% and the
introduction of solar PV system by 55.9%. This study assists in understanding household lowcarbon
practices and their relationship with the related policy measures.",2,2018,"NA","23","Logit / Probit","quasi-experimental","Japan","self-reported behavior","household","homeowners","0","1","0","probably yes","probably yes","NA",0,0,0,0,0,1,0,0,"NA",0,0,0,0,0,0,0,1,0,"aggregated already implemented and planned installations together?","purschase (probability) of efficient appliance","adoption of renewable and energy saving appliances","dummy (0/1)",0.422,"increase",NA,0.01,"1",2.60140874655905,NA,0.166,NA,NA,NA,NA,NA,NA,196,196,NA,NA,NA,NA,"current","NA",NA,"NA",NA,"NA",0.182687825954519,0.184761912957563,0.00512222906490312,0.00518134715025907,NA,194,"NA",0.182687825954519,0.184761912957563,0.00512222906490312,0.00518134715025907,NA,NA,NA,"0","0","1","Asia","OECD country","non-LMIC",1,"Subsidy","Air-Conditioner","Economic Incentives",6
"all","no intervention",1010,"103","Liu, Jin",2019,"Visualisation Approach and Economic Incentives toward Low Carbon Practices in
Households: A Survey Study in Hyogo, Japan","Considering the great significance of residential sector for deep decarbonisation in
the medium and long term, this study analyses the effectiveness of an emissions visualisation
approach and economic incentives in promoting household low-carbon practices. The data was
gathered by a questionnaire survey from 406 households in Hyogo Prefecture, Japan, which
received eco-home diagnosis in the past three years. The result confirms that around 40% of the
samples installed home energy management system (HEMS) as the visualisation tool, and many
households received low-carbon subsidies; however, few of them have utilised the low-interest
loan from the government of Hyogo. Household lifestyle efforts are less associated with the policy
measures and some differ due to family characteristics, i.e., the age of head of the household.
Replacing household equipment with low-carbon items is largely determined by the visualisation
approach and availability of economic incentives. As an example, the installation of HEMS would
increase the probability of replacement with an electric heat pump water heater by 25.6% and the
introduction of solar PV system by 55.9%. This study assists in understanding household lowcarbon
practices and their relationship with the related policy measures.",2,2018,"NA","23","Logit / Probit","quasi-experimental","Japan","self-reported behavior","household","homeowners","0","1","0","probably yes","probably yes","NA",0,0,0,0,0,1,0,0,"NA",0,0,0,0,0,0,1,0,0,"aggregated already implemented and planned installations together?","purschase (probability) of efficient appliance","adoption of renewable and energy saving appliances","dummy (0/1)",0.105,"increase",NA,0.1,"2",1.65402912813341,NA,0.042,NA,NA,NA,NA,NA,NA,169,169,NA,NA,NA,NA,"current","NA",NA,"NA",NA,"NA",0.126215507825776,0.126892206990411,0.00595083772286107,0.00602409638554217,NA,167,"NA",0.126215507825776,0.126892206990411,0.00595083772286107,0.00602409638554217,NA,NA,NA,"0","0","1","Asia","OECD country","non-LMIC",1,"Subsidy","Water Heater","Economic Incentives",6
"all","no intervention",1011,"103","Liu, Jin",2019,"Visualisation Approach and Economic Incentives toward Low Carbon Practices in
Households: A Survey Study in Hyogo, Japan","Considering the great significance of residential sector for deep decarbonisation in
the medium and long term, this study analyses the effectiveness of an emissions visualisation
approach and economic incentives in promoting household low-carbon practices. The data was
gathered by a questionnaire survey from 406 households in Hyogo Prefecture, Japan, which
received eco-home diagnosis in the past three years. The result confirms that around 40% of the
samples installed home energy management system (HEMS) as the visualisation tool, and many
households received low-carbon subsidies; however, few of them have utilised the low-interest
loan from the government of Hyogo. Household lifestyle efforts are less associated with the policy
measures and some differ due to family characteristics, i.e., the age of head of the household.
Replacing household equipment with low-carbon items is largely determined by the visualisation
approach and availability of economic incentives. As an example, the installation of HEMS would
increase the probability of replacement with an electric heat pump water heater by 25.6% and the
introduction of solar PV system by 55.9%. This study assists in understanding household lowcarbon
practices and their relationship with the related policy measures.",2,2018,"NA","23","Logit / Probit","quasi-experimental","Japan","self-reported behavior","household","homeowners","0","1","0","probably yes","probably yes","NA",0,0,0,0,0,0,1,0,"NA",0,0,0,0,0,0,0,1,0,"aggregated already implemented and planned installations together?","purschase (probability) of efficient appliance","adoption of renewable and energy saving appliances","dummy (0/1)",-0.602,"decrease",NA,0.05,"1",-1.97226753258214,NA,-0.236,NA,NA,NA,NA,NA,NA,196,196,NA,NA,NA,NA,"current","NA",NA,"NA",NA,"NA",-0.139498798192994,-0.140414390858652,0.00512621164826569,0.00518134715025907,NA,194,"NA",0.139498798192994,0.140414390858652,0.00512621164826569,0.00518134715025907,NA,NA,NA,"0","0","1","Asia","OECD country","non-LMIC",1,"Loan","Air-Conditioner","Economic Incentives",6
"all","no intervention",1012,"103","Liu, Jin",2019,"Visualisation Approach and Economic Incentives toward Low Carbon Practices in
Households: A Survey Study in Hyogo, Japan","Considering the great significance of residential sector for deep decarbonisation in
the medium and long term, this study analyses the effectiveness of an emissions visualisation
approach and economic incentives in promoting household low-carbon practices. The data was
gathered by a questionnaire survey from 406 households in Hyogo Prefecture, Japan, which
received eco-home diagnosis in the past three years. The result confirms that around 40% of the
samples installed home energy management system (HEMS) as the visualisation tool, and many
households received low-carbon subsidies; however, few of them have utilised the low-interest
loan from the government of Hyogo. Household lifestyle efforts are less associated with the policy
measures and some differ due to family characteristics, i.e., the age of head of the household.
Replacing household equipment with low-carbon items is largely determined by the visualisation
approach and availability of economic incentives. As an example, the installation of HEMS would
increase the probability of replacement with an electric heat pump water heater by 25.6% and the
introduction of solar PV system by 55.9%. This study assists in understanding household lowcarbon
practices and their relationship with the related policy measures.",2,2018,"NA","23","Logit / Probit","quasi-experimental","Japan","self-reported behavior","household","homeowners","0","1","0","probably yes","probably yes","NA",0,0,0,0,0,0,1,0,"NA",0,0,0,0,0,0,1,0,0,"aggregated already implemented and planned installations together?","purschase (probability) of efficient appliance","adoption of renewable and energy saving appliances","dummy (0/1)",0.705,"increase",NA,0.1,"1",1.65402912813341,NA,0.262,NA,NA,NA,NA,NA,NA,169,169,NA,NA,NA,NA,"current","NA",NA,"NA",NA,"NA",0.126215507825776,0.126892206990411,0.00595083772286107,0.00602409638554217,NA,167,"NA",0.126215507825776,0.126892206990411,0.00595083772286107,0.00602409638554217,NA,NA,NA,"0","0","1","Asia","OECD country","non-LMIC",1,"Loan","Water Heater","Economic Incentives",6
"DD","no intervention",1014,"105","Figueroa, Molière, Pegels, Never, Kutzner",2019,"Show me (more than) the money! Assessing the social and psychological
dimensions to energy efficient lighting in Kenya","Despite economic, social and environmental benefits, the uptake of energy-saving compact fluorescent lamp
light bulbs (CFLs) in Kibera, an informal settlement in Nairobi, remains low. We conducted a randomized
controlled field experiment involving 651 Kibera residents assessing whether the joint impact of monetary incentives
and behavioral interventions (pre-commitment and simplified information highlighting CFL benefits)
could increase CFL uptake. A monetary incentive covering the incremental cost of a CFL compared to an incandescent
bulb positively impacted uptake. However, adding simplified information more than tripled the
impact of the monetary incentive alone, resulting in a remarkable uptake rate of about 84%. While a post endline
survey conducted two years following the administration of the randomized control trial does not find lasting
effects, this paper provides evidence for additional behavioral hypotheses in developing countries, also assessing
the contribution of intelligence and measured discount rates to account for potential household present bias. It is
to date the only intervention of its type that explores the extent to which behavioral interventions can complement
monetary incentives.",2,2019,"NA","230","Logit / Probit","control & treatment","Kenya","self-reported behavior","household","residents","1","1","1","probably yes","probably no","informal settlement in Kibera (poor population)",0,1,0,0,0,0,0,0,"NA",0,0,0,0,0,1,0,0,0,"NA","purschase (probability) of efficient appliance","CFL uptake","dummy (0/1)",-0.005,"decrease",0.109,0.1,"2",-0.0458715596330275,"NA",-0.50124999739584,NA,71,NA,NA,85,NA,156,156,NA,NA,NA,NA,"NA","NA",NA,"NA",NA,"NA",-0.00367263930905502,-0.00367265582171712,0.00645161290205202,0.0065359477124183,NA,154,"NA",0.00367263930905502,0.00367265582171712,0.00645161290205202,0.0065359477124183,NA,NA,NA,"0","0","0","Africa","non-OECD country","LMIC",1,"Information","Lighting","Information Strategies",6
